,kwh,temp,temp,temp,hdd
,sum,min,max,mean,
2022-01-31,1754.688,-24.4,8.9,-6.559005376344086,1388.9924999999998
2022-02-28,1464.997,-21.7,17.8,-2.7888392857142854,1064.5575
2022-03-31,1682.081,-19.4,18.3,1.4897711978465682,940.1898913043476
2022-04-30,1370.427,-3.3,18.3,7.196944444444445,601.3649999999998
2022-05-31,594.148,-1.1,30.0,13.179301075268818,294.14250000000004
2022-06-30,389.703,5.0,30.0,16.659444444444443,117.07499999999999
2022-07-31,592.63,8.3,32.8,21.905913978494624,1.259999999999991
2022-08-31,575.071,11.7,32.2,21.589381720430108,1.3500000000000014
2022-09-30,429.795,1.1,28.3,15.92986111111111,153.96749999999997
2022-10-31,788.269,-1.7,23.9,10.736155913978495,423.92250000000007
2022-11-30,1136.236,-7.2,23.3,6.151872399445215,661.0275000000003
2022-12-31,1322.391,-11.7,12.8,0.5134408602150538,994.35
2023-01-31,1470.961,-14.4,12.2,-0.4174731182795699,1046.2949999999998
2023-02-28,1401.112,-25.6,15.6,-2.776636904761905,1063.9425
2023-03-31,946.667,-11.1,11.7,2.145760430686406,903.2298913043478
2023-04-30,1011.858,-6.1,25.0,7.18375,602.0775000000001
2023-05-31,622.896,-1.1,28.9,12.774731182795698,312.24000000000007
2023-06-30,460.741,5.6,30.6,15.805277777777777,154.2375
2023-07-31,511.255,12.2,31.7,21.554301075268818,0.45750000000001023
2023-08-31,422.87,8.9,28.9,19.638440860215052,8.310000000000016
2023-09-30,363.372,5.0,32.2,17.290416666666665,127.77750000000002
2023-10-31,744.696,-1.1,26.1,11.978629032258064,354.5925
2023-11-30,1372.2740000000001,-8.9,14.4,2.364493758668516,862.737
2023-12-31,1623.747,-12.8,13.3,1.0086021505376344,966.72
2024-01-31,1688.819,-15.6,10.6,-3.2573924731182795,1204.7624999999998
2024-02-29,1611.129,-15.0,10.6,-1.4737068965517242,1033.9275
2024-03-31,1190.982,-11.1,12.2,2.87792732166891,862.2414130434781
2024-04-30,1102.167,-4.4,20.0,6.179166666666666,656.3249999999999
2024-05-31,583.206,0.0,27.8,12.75241935483871,316.47749999999996
2024-06-30,368.14,5.0,34.4,18.33291666666667,72.32249999999996
2024-07-31,493.443,11.7,32.2,22.438440860215056,0.0
2024-08-31,462.746,8.9,31.7,20.273655913978494,10.912500000000001
2024-09-30,429.904,6.1,30.0,16.750833333333333,104.54999999999998
2024-10-31,897.281,-5.6,26.1,10.71518817204301,425.0925
2024-11-30,957.093,-7.0,25.0,7.493760831889081,469.1118
