,72608,72619,72712,74392,72606,72713,KMLT0,72607,KAUG0
1999,4980.33,,7461.960000000001,,4820.58,,,5523.69,
2000,,,8153.730000000001,,5440.68,,,6394.26,
2001,,,7670.28,5731.650000000001,5293.29,,,6341.46,
2002,,,8510.67,5638.77,5186.58,,,6334.59,
2003,,,8997.33,6144.840000000001,6117.389999999999,,,6968.46,
2004,,,8695.98,,5733.4800000000005,,,6683.879999999999,6537.780000000001
2005,,,8250.630000000001,,5745.03,,7207.080000000002,6358.320000000001,6298.29
2006,,,7009.92,,4449.57,,,5118.27,4920.780000000001
2007,,8395.02,8723.609999999999,6246.779999999999,5832.87,,,6863.46,6315.93
2008,,7678.14,8363.670000000002,5598.93,5294.49,,,6225.48,5896.5599999999995
2009,,7906.3499999999985,8270.850000000002,5474.85,5378.1,,,6481.59,
2010,,6938.73,6406.049999999999,,4528.41,,,4968.15,5045.639999999999
2011,,7584.69,7425.960000000001,,5009.97,,,5856.69,5602.2300000000005
2012,,7183.26,7256.28,,4400.01,,,5481.450000000001,
2013,,,7928.67,,5369.76,,6933.03,6398.280000000001,6109.47
2014,,8157.959999999999,8417.88,,5541.630000000001,,,6557.91,6305.34
2015,,8279.130000000001,8348.67,,5380.380000000001,,,6802.47,6379.710000000001
2016,,7581.540000000001,7568.16,,4798.320000000001,,,5814.09,5529.9
2017,,,7767.9,,5254.050000000001,,,6133.98,5929.74
2018,,,8200.68,,5432.9400000000005,,7357.379999999999,6401.4,6183.450000000001
2019,,8222.580000000002,8273.16,,5368.379999999999,,,6427.86,
2020,,,7390.139999999999,,4518.060000000001,,,5472.450000000001,5303.58
2021,,6737.28,6793.289999999999,,4683.78,6900.030000000001,6061.65,5302.65,5097.99
2022,,6987.33,7512.48,,4861.410000000001,7410.960000000001,6456.87,5510.85,5062.11
2023,,6668.31,6992.669999999999,,4501.65,7060.379999999999,6144.870000000001,5233.74,4825.29
