degree,p,r_squared,mse,rmse
2,"        2
0.3871 x - 22.72 x + 370.4",0.805061946665859,1777.310803395253,42.158164136917215
3,"          3          2
0.009117 x - 0.3021 x - 8.984 x + 312.3",0.868697365990505,1197.1269126162865,34.599521855313064
4,"            4           3         2
-0.0005946 x + 0.07115 x - 2.378 x + 14.76 x + 250.8",0.9142171542874639,782.1088588052372,27.966209231950568
5,"           5             4           3         2
-6.12e-06 x + 0.0001891 x + 0.03567 x - 1.704 x + 9.884 x + 259.2",0.9150300344146904,774.6975781072309,27.833389626619876
6,"           6             5            4          3         2
-7.43e-07 x + 0.0001102 x - 0.006699 x + 0.2269 x - 4.185 x + 22.76 x + 243",0.9172224983892565,754.7082028087198,27.471953021376542
7,"            7             6             5            4          3
-1.274e-08 x + 1.555e-06 x - 5.317e-05 x - 0.000904 x + 0.1197 x
          2
 - 3.207 x + 19.08 x + 246.4",0.9173210069965126,753.8100692277841,27.45560178229179
8,"            8             7             6            5           4
-4.603e-09 x + 9.438e-07 x - 7.956e-05 x + 0.003553 x - 0.09066 x
          3        2
 + 1.356 x - 11.9 x + 44.68 x + 227.9",0.9198869955119588,730.415154628564,27.02619386129989
9,"            9             8             7             6            5
-1.256e-11 x - 1.678e-09 x + 6.596e-07 x - 6.464e-05 x + 0.003094 x
           4         3         2
 - 0.0823 x + 1.269 x - 11.43 x + 43.6 x + 228.5",0.919889878250774,730.3888718030537,27.025707609664057
