,kwh,temp,temp,temp,wspd,wchill
,sum,min,max,mean,mean,mean
2022-01-01,34.262,1.1,5.6,2.5749999999999997,0.2833333333333333,14.121464740086145
2022-01-02,47.032000000000004,0.6,3.9,2.6916666666666664,3.1750000000000003,8.417923092124356
2022-01-03,48.584,-8.3,0.0,-5.370833333333334,5.866666666666667,-4.74043440923363
2022-01-04,56.612,-14.4,-3.9,-9.304166666666667,5.308333333333334,-6.9863563091202865
2022-01-05,43.3,-8.3,8.3,-2.5208333333333335,3.25,7.591796374475508
2022-01-06,25.369,-2.8,5.6,1.8375000000000001,3.4,8.485024119150209
2022-01-07,39.226,-3.3,-1.1,-2.3833333333333333,5.375,1.4503874198526214
2022-01-08,83.615,-11.1,-2.8,-6.316666666666666,8.791666666666666,-7.378054481506143
2022-01-09,86.101,-14.4,3.3,-4.233333333333333,12.033333333333333,1.1531670216103833
2022-01-10,41.036,-9.4,3.9,-1.6375000000000002,11.674999999999999,-4.0328170172870825
2022-01-11,68.625,-17.8,-8.3,-13.895833333333334,7.533333333333334,-13.193740720775956
2022-01-12,88.354,-18.9,-2.2,-11.366666666666667,4.583333333333333,-1.3684720147975888
2022-01-13,38.467,-6.1,2.2,-2.4041666666666663,0.0,11.625810416666667
2022-01-14,29.123,-2.8,1.7,-0.6791666666666667,5.075,4.632670377994768
2022-01-15,67.348,-17.2,-3.3,-13.316666666666668,14.758333333333333,-20.68892986422048
2022-01-16,101.228,-18.9,-6.1,-14.004166666666668,4.575,-8.165564236887931
2022-01-17,53.733,-10.6,8.9,-0.7208333333333332,12.4125,2.1151629645288015
2022-01-18,27.631999999999998,-9.4,5.0,-1.1791666666666667,13.725,-4.129324330363965
2022-01-19,60.093,-13.9,3.9,-8.333333333333334,5.395833333333333,-1.1340924095454985
2022-01-20,35.96,-6.7,4.4,-1.1583333333333332,4.425,3.7887349803695134
2022-01-21,83.588,-16.7,-7.8,-12.154166666666667,2.5749999999999997,-1.7312868617434714
2022-01-22,78.72200000000001,-18.3,-7.8,-13.916666666666666,1.5999999999999999,-0.7668312592098739
2022-01-23,64.197,-15.0,-1.1,-9.041666666666666,2.9499999999999997,-0.19232343225518886
2022-01-24,42.035,-11.7,-3.3,-6.195833333333333,2.9166666666666665,0.9668354550279213
2022-01-25,37.751,-10.0,-1.7,-5.383333333333333,1.3500000000000003,5.37623806216665
2022-01-26,51.598,-15.6,-6.1,-9.604166666666666,4.191666666666666,-2.483883396370157
2022-01-27,71.469,-23.3,-5.0,-15.191666666666668,2.3333333333333335,-2.4152912727287537
2022-01-28,46.05,-15.6,-1.1,-5.733333333333333,2.7083333333333335,2.9085782430569354
2022-01-29,67.238,-12.8,-4.4,-9.4375,11.533333333333333,-12.814153546586342
2022-01-30,66.638,-13.3,-5.6,-10.3125,11.775,-15.409846741301712
2022-01-31,69.702,-24.4,-3.3,-14.637500000000001,2.091666666666667,-1.270111232035515
2022-02-01,59.443,-21.7,-2.2,-13.237499999999999,2.375,-1.6486064692453954
2022-02-02,37.897999999999996,-5.6,4.4,-0.7625000000000001,4.058333333333334,5.0959781745547
2022-02-03,45.001,1.7,5.0,3.6333333333333333,5.6125,6.84273649750185
2022-02-04,52.278999999999996,-7.8,3.9,-3.5416666666666665,9.775,-6.487660817880812
2022-02-05,56.948,-10.0,-5.6,-8.283333333333333,8.516666666666667,-12.467359592616
2022-02-06,57.741,-19.4,-5.6,-12.358333333333334,4.441666666666666,-5.377979835959153
2022-02-07,38.604,-11.1,2.2,-5.1375,1.3500000000000003,6.106755198852471
2022-02-08,44.913,0.6,3.3,2.3249999999999997,5.241666666666666,4.614738513822568
2022-02-09,40.804,-1.7,5.0,1.3583333333333334,6.108333333333333,2.3194265141052255
2022-02-10,34.342,-5.0,6.1,-0.25000000000000006,4.870833333333334,7.71294155328524
2022-02-11,33.24,-4.4,6.7,2.2291666666666665,7.3,4.045063900781639
2022-02-12,37.148,5.0,11.7,7.733333333333333,13.075000000000001,5.465398950665485
2022-02-13,50.64,-5.6,7.8,-1.8041666666666665,6.808333333333334,-3.2303148457772566
2022-02-14,49.068,-12.2,-5.6,-9.079166666666667,8.683333333333334,-11.91184909052861
2022-02-15,61.508,-14.4,-4.4,-10.733333333333334,7.716666666666668,-9.867404588562211
2022-02-16,54.809,-16.7,2.8,-7.495833333333334,9.041666666666666,0.8448875058412844
2022-02-17,43.715,3.3,12.8,7.670833333333333,19.691666666666666,4.564369019906053
2022-02-18,43.201,-4.4,12.8,7.120833333333334,21.712500000000002,3.8363135110299056
2022-02-19,62.443,-12.2,0.0,-5.979166666666667,8.916666666666666,-4.127363766832189
2022-02-20,91.646,-11.1,-2.2,-6.358333333333333,11.625,-11.271664338206671
2022-02-21,75.184,-2.2,10.6,2.7583333333333333,12.079166666666666,0.23938913424149674
2022-02-22,82.123,-2.8,3.9,0.6666666666666666,3.9250000000000003,5.212266748567653
2022-02-23,33.432,2.2,17.8,11.25,18.604166666666668,9.83553050798509
2022-02-24,40.685,-9.4,4.4,-4.795833333333333,10.170833333333333,-6.8509325078319145
2022-02-25,87.163,-11.7,-6.1,-8.7125,7.3,-7.695654556482668
2022-02-26,61.379,-20.0,-3.3,-11.658333333333333,3.9416666666666664,-4.080973156983158
2022-02-27,51.693000000000005,-15.0,3.3,-6.9750000000000005,6.104166666666667,0.17235751269229452
2022-02-28,37.947,-12.2,0.6,-7.670833333333333,10.700000000000001,-11.811227742159675
